date,geography,indicator,value
1964-10,Newfoundland and Labrador,Population,485000
1964-10,Prince Edward Island,Population,109000
1964-10,Nova Scotia,Population,756000
1964-10,New Brunswick,Population,612000
1964-10,Quebec,Population,5621000
1964-10,Ontario,Population,6687000
1964-10,Manitoba,Population,961000
1964-10,Saskatchewan,Population,946000
1964-10,Alberta,Population,1436000
1964-10,British Columbia,Population,1765000
1964-10,Yukon,Population,15000
1964-10,Northwest Territories including Nunavut,Population,27000
1965-01,Canada,Population,19501000
1965-01,Newfoundland and Labrador,Population,485000
1965-01,Prince Edward Island,Population,109000
1965-01,Nova Scotia,Population,755000
1965-01,New Brunswick,Population,613000
1965-01,Quebec,Population,5644000
1965-01,Ontario,Population,6723000
1965-01,Manitoba,Population,962000
1965-01,Saskatchewan,Population,946000
1965-01,Alberta,Population,1443000
1965-01,British Columbia,Population,1779000
1965-01,Yukon,Population,15000
1965-01,Northwest Territories including Nunavut,Population,27000
1965-04,Canada,Population,19578000
1965-04,Newfoundland and Labrador,Population,486000
1965-04,Prince Edward Island,Population,109000
1965-04,Nova Scotia,Population,754000
1965-04,New Brunswick,Population,614000
1965-04,Quebec,Population,5668000
1965-04,Ontario,Population,6758000
1965-04,Manitoba,Population,964000
1965-04,Saskatchewan,Population,948000
1965-04,Alberta,Population,1445000
1965-04,British Columbia,Population,1790000
1965-04,Yukon,Population,15000
1965-04,Northwest Territories including Nunavut,Population,27000
1965-07,Canada,Population,19678000
